CHR,BP,P,SNP,ZSCORE,EFFECTSIZE,GENE,DISTANCE
1,937641,0.335343792801723,rs9697358,0.9634,-0.0946,ISG15,1068
1,1136887,0.245857131900266,rs34945898,1.1605,-0.0947,TNFRSF4,0
1,2116240,0.823285880265757,rs12034613,0.2233,-0.0741,FP7162,0
1,2310562,0.493203816702589,rs4648633,0.6852,0.0146,MORN1,0
1,2681715,0.605391642311588,rs4430271,0.5167,0.1234,MMEL1,127427
1,2917484,0.194443116430193,rs6685625,1.2975,0.1979,ACTRT2,10421
1,2942700,0.355297215282917,rs9661525,0.9244,-0.0059,ACTRT2,13374
1,3298358,0.0352605548687279,rs2493268,2.1054,-0.0159,PRDM16,0
1,3501155,0.818795809289441,rs7544357,0.2291,-0.0489,MEGF6,0
1,3676178,0.799219925887883,rs2275837,0.2544,-0.007,CCDC27,0
1,3776384,0.925252511166036,rs10909812,0.0938,-0.0255,DFFB,0
1,3784133,0.494195157894865,rs12132240,0.6837,0.0018,DFFB,0
1,4069908,0.545963070355356,rs12077262,0.6038,-0.1358,AK124708,154727
1,4127180,0.426902187056839,rs16840873,0.7945,0.0821,AK124708,211999
1,4313946,0.451618056977168,rs598894,0.7527,-0.0756,AX748168,58024
1,4362320,0.342592827044427,rs349400,0.9491,0.0194,AX748168,9650
1,4448961,0.83139360928908,rs350186,0.2129,0.0855,AX748168,65855
1,4503964,0.889143968001008,rs241215,0.1394,0.0965,AJAP1,111000
1,4520856,0.619289125548676,rs12120353,0.4969,0.0258,AJAP1,94108
1,4521535,0.838938328204677,rs16839306,0.2033,-0.0886,AJAP1,93429
1,4541659,0.315478420583531,rs241224,1.0038,0.1773,AJAP1,73305
1,4566354,0.0757062647026032,rs164780,1.7762,0.06,AJAP1,48610
1,4623702,0.58533979812637,rs12083135,0.5456,0.3102,AJAP1,0
1,4684416,0.82977602770552,rs3820252,0.215,-0.0581,AJAP1,0
1,4698713,0.245596780674532,rs578528,1.1611,-0.1109,AJAP1,0
1,4728466,0.238168169744313,rs7518471,1.1796,-0.334,AJAP1,0
1,4785317,0.823463333770633,rs7516549,0.2231,0.0478,BC037321,33276
1,4935048,0.845473094843328,rs10915303,0.1949,-0.0993,BC037321,183007
1,5013962,0.983542039524764,rs10915329,0.0206,-0.1626,BC037321,261921
1,5037526,0.367973138811067,rs10915336,0.9003,-0.1268,BC037321,285485
1,5097837,0.592531548114493,rs10799173,0.5352,0.1076,BC037321,345796
1,5485398,0.124117624713108,rs12023966,1.5377,0.0083,AK125078,58957
1,5612289,0.945510569959879,rs770683,0.0683,-0.0343,AK125078,0
1,5697261,0.759466281160712,rs1414379,0.3062,-0.177,AK125078,46360
1,5836480,0.820778128225356,rs522049,0.2265,0.0096,NPHP4,8976
1,5963955,0.786090669920668,rs2312049,0.2714,-0.037,NPHP4,0
1,6076112,0.020133588463068,rs3789529,2.3238,-0.0426,KCNAB2,0
1,6165922,0.676429839339107,rs7542655,0.4173,0.0698,RPL22,1744
1,7057855,0.873043911298737,rs10864271,0.1598,0.1323,CAMTA1,0
1,7238618,0.877540062880144,rs7512599,0.1541,-0.1303,CAMTA1,0
1,7423173,0.303894938668236,rs17030865,1.0281,0.0773,CAMTA1,0
1,7539180,0.535324970958754,rs4908656,0.6199,0.029,CAMTA1,0
1,7640549,0.499374766368419,rs9434882,0.6755,0.0116,CAMTA1,0
1,7843010,0.55336891929619,rs2859389,0.5927,0.1444,UTS2,6852
1,8118652,0.995576138840988,rs9434615,0.0055,-0.0406,ERRFI1,109710
1,8135597,0.661004883470014,rs1455701,0.4385,-0.162,ERRFI1,126655
1,8161565,0.0208432786166668,rs11803446,2.3108,-0.0076,SLC45A1,145411
1,8418106,0.352723793359473,rs17032575,0.9293,0.0266,RERE,0
1,9141970,0.978095799684525,rs6577556,0.0275,-0.1062,EF570048,0
1,9730889,0.816180405206978,rs7550246,0.2325,-0.1057,CLSTN1,0
1,10271299,0.262890939135104,rs912962,1.1196,-0.0899,KIF1B,0
1,10497264,0.791994176805019,rs11587326,0.2637,0.1791,PEX14,0
1,10504634,0.629911184543744,rs2483678,0.4819,0.0442,PEX14,0
1,10613535,0.185145747615024,rs17035482,1.3251,0.0475,PEX14,131
1,10661842,0.39609634783119,rs284307,0.8486,-0.0287,CASZ1,0
1,11639887,0.740501537686214,rs12139487,0.3312,0.0061,FBXO44,0
1,11676755,0.504527201643214,rs7539455,0.6674,-0.0118,C1orf187,0
1,12001361,0.464101171121001,rs12408163,0.7321,0.0206,IIP45,737
1,12393641,0.683779758168384,rs6693153,0.4073,0.0495,VPS13D,0
1,12456055,0.498784225434065,rs12408116,0.6764,0.0012,VPS13D,0
1,12537656,0.500892325304449,rs6659122,0.6731,-0.0593,DHRS3,12869
1,13775685,0.209737153491005,rs355013,1.2543,0.1557,PDPN,7153
1,13810964,0.166874150047079,rs1412838,1.3823,-0.0291,PDPN,0
1,13916196,0.0654532797634602,rs4344326,1.8421,0.2009,PRDM2,0
1,13969007,0.848335590912029,rs2359756,0.1912,-0.0479,PRDM2,0
1,13985336,0.340846157632768,rs1203647,0.9525,-0.0387,PRDM2,0
1,14468279,0.889678447740152,rs10928060,0.1387,0.0361,KIAA1026,329520
1,14639664,0.626820010365918,rs7547198,0.4862,0.0371,KIAA1026,158135
1,14659997,0.116055855993181,rs16850285,1.5715,-0.0976,KIAA1026,137802
1,14698616,0.8548749149777,rs12733612,0.1829,-0.0924,KIAA1026,99183
1,14722938,0.363171881064773,rs7526119,0.9093,0.1537,KIAA1026,74861
1,14863135,0.521666142391041,rs6686811,0.6408,-0.0452,KIAA1026,0
1,15316875,0.504009723197669,rs2235784,0.6682,-0.0522,KIAA1026,0
1,15418168,0.938829443184659,rs12121147,0.0767,0.0807,TMEM51,0
1,15681354,0.977730640210211,rs3820071,0.0279,0.0262,ELA2B,0
1,15714329,0.608867570757866,rs2042370,0.5117,0.005,CASP9,0
1,15813863,0.155775794759393,rs3940061,1.4194,-0.0492,DDI2,2793
1,16037834,0.859699665103108,rs10927863,0.1768,-0.043,AK124018,0
1,16073927,0.557576457271352,rs7525143,0.5864,0.095,SPEN,0
1,16085326,0.353681000182405,rs598371,0.9275,0.0872,SPEN,0
1,16345193,0.935210069641471,rs7525723,0.0813,0.1431,EPHA2,0
1,17269290,0.0622690077871084,rs2076595,1.8644,-0.0544,PADI2,0
1,17278536,0.484198849881068,rs2057094,0.6996,-0.313,PADI2,0
1,17506479,0.0255290085915476,rs2477133,2.2333,-0.0823,PADI4,799
1,18130892,0.0153523059561849,rs11203239,2.424,0.2,ACTL8,104748
